[ 2017-04-22T10:46:33+08:00 ] /web/tuiguang/index.php/Login/verify?t=1492829193377 | INFO: Tag[ app_begin ] --START--
[ 2017-04-22T10:46:33+08:00 ] /web/tuiguang/index.php/Login/verify?t=1492829193377 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001065s ]
[ 2017-04-22T10:46:33+08:00 ] /web/tuiguang/index.php/Login/verify?t=1492829193377 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001107s ]
[ 2017-04-22T10:46:33+08:00 ] /web/tuiguang/index.php/Login/verify?t=1492829193377 | NOTIC: [8] A session had already been started - ignoring session_start() functions.php 第 411 行.
[ 2017-04-22T10:46:33+08:00 ] /web/tuiguang/index.php/Login/verify?t=1492829193377 | NOTIC: [8] ob_end_clean() [<a href='ref.outcontrol'>ref.outcontrol</a>]: failed to delete buffer. No buffer to delete. LoginAction.class.php 第 47 行.
[ 2017-04-22T10:46:33+08:00 ] /web/tuiguang/index.php/Login/verify?t=1492829193377 | NOTIC: [2] Cannot modify header information - headers already sent by (output started at F:\nginx-1.8.1\html\web\tuiguang\Common\common.php:1) Image.class.php 第 508 行.
[ 2017-04-22T10:49:15+08:00 ] /web/tuiguang/index.php/Login | INFO: Tag[ route_check ] --START--
[ 2017-04-22T10:49:15+08:00 ] /web/tuiguang/index.php/Login | INFO: Run CheckRoute Behavior [ RunTime:0.001454s ]
[ 2017-04-22T10:49:15+08:00 ] /web/tuiguang/index.php/Login | INFO: Tag[ route_check ] --END-- [ RunTime:0.001622s ]
[ 2017-04-22T10:49:15+08:00 ] /web/tuiguang/index.php/Login | INFO: Tag[ app_begin ] --START--
[ 2017-04-22T10:49:15+08:00 ] /web/tuiguang/index.php/Login | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001334s ]
[ 2017-04-22T10:49:15+08:00 ] /web/tuiguang/index.php/Login | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001395s ]
[ 2017-04-22T10:49:15+08:00 ] /web/tuiguang/index.php/Login | NOTIC: [8] A session had already been started - ignoring session_start() functions.php 第 411 行.
[ 2017-04-22T10:49:15+08:00 ] /web/tuiguang/index.php/Login | INFO: Tag[ view_template ] --START--
[ 2017-04-22T10:49:15+08:00 ] /web/tuiguang/index.php/Login | INFO: Run LocationTemplate Behavior [ RunTime:0.001393s ]
[ 2017-04-22T10:49:15+08:00 ] /web/tuiguang/index.php/Login | INFO: Tag[ view_template ] --END-- [ RunTime:0.001444s ]
[ 2017-04-22T10:49:15+08:00 ] /web/tuiguang/index.php/Login | INFO: Tag[ view_parse ] --START--
[ 2017-04-22T10:49:15+08:00 ] /web/tuiguang/index.php/Login | INFO: Run ParseTemplate Behavior [ RunTime:0.010085s ]
[ 2017-04-22T10:49:15+08:00 ] /web/tuiguang/index.php/Login | INFO: Tag[ view_parse ] --END-- [ RunTime:0.010137s ]
[ 2017-04-22T10:49:15+08:00 ] /web/tuiguang/index.php/Login | INFO: Tag[ view_filter ] --START--
