[ 2016-11-23T14:32:06+08:00 ] / | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001843s ]
[ 2016-11-23T15:01:27+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2016-11-23T15:01:27+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001680s ]
[ 2016-11-23T15:01:27+08:00 ] / | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001860s ]
[ 2016-11-23T15:20:38+08:00 ] /index.php/Login | INFO: Tag[ route_check ] --START--
[ 2016-11-23T15:20:38+08:00 ] /index.php/Login | INFO: Run CheckRoute Behavior [ RunTime:0.002325s ]
[ 2016-11-23T15:20:38+08:00 ] /index.php/Login | INFO: Tag[ route_check ] --END-- [ RunTime:0.002494s ]
[ 2016-11-23T15:20:38+08:00 ] /index.php/Login | INFO: Tag[ app_begin ] --START--
[ 2016-11-23T15:20:38+08:00 ] /index.php/Login | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001655s ]
[ 2016-11-23T15:20:38+08:00 ] /index.php/Login | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001762s ]
[ 2016-11-23T15:20:38+08:00 ] /index.php/Login | INFO: Tag[ view_template ] --START--
[ 2016-11-23T15:20:38+08:00 ] /index.php/Login | INFO: Run LocationTemplate Behavior [ RunTime:0.001955s ]
[ 2016-11-23T15:20:38+08:00 ] /index.php/Login | INFO: Tag[ view_template ] --END-- [ RunTime:0.002076s ]
[ 2016-11-23T15:20:38+08:00 ] /index.php/Login | INFO: Tag[ view_parse ] --START--
[ 2016-11-23T15:20:38+08:00 ] /index.php/Login | INFO: Run ParseTemplate Behavior [ RunTime:0.018333s ]
[ 2016-11-23T15:20:38+08:00 ] /index.php/Login | INFO: Tag[ view_parse ] --END-- [ RunTime:0.018449s ]
[ 2016-11-23T15:20:38+08:00 ] /index.php/Login | INFO: Tag[ view_filter ] --START--
[ 2016-11-23T15:20:38+08:00 ] /index.php/Login | INFO: Run ContentReplace Behavior [ RunTime:0.001738s ]
[ 2016-11-23T15:20:38+08:00 ] /index.php/Login | INFO: Run TokenBuild Behavior [ RunTime:0.001865s ]
[ 2016-11-23T15:20:38+08:00 ] /index.php/Login | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001543s ]
[ 2016-11-23T15:20:38+08:00 ] /index.php/Login | INFO: Run ShowRuntime Behavior [ RunTime:0.001985s ]
[ 2016-11-23T15:20:38+08:00 ] /index.php/Login | INFO: Tag[ view_filter ] --END-- [ RunTime:0.007431s ]
[ 2016-11-23T15:20:38+08:00 ] /index.php/Login | INFO: Tag[ view_end ] --START--
[ 2016-11-23T15:20:38+08:00 ] /index.php/Login | INFO: Run ShowPageTrace Behavior [ RunTime:0.002014s ]
[ 2016-11-23T15:20:38+08:00 ] /index.php/Login | INFO: Tag[ view_end ] --END-- [ RunTime:0.002120s ]
[ 2016-11-23T15:20:38+08:00 ] /index.php/Login/verify | INFO: Tag[ route_check ] --START--
[ 2016-11-23T15:20:38+08:00 ] /index.php/Login/verify | INFO: Run CheckRoute Behavior [ RunTime:0.001752s ]
[ 2016-11-23T15:20:38+08:00 ] /index.php/Login/verify | INFO: Tag[ route_check ] --END-- [ RunTime:0.001917s ]
[ 2016-11-23T15:20:38+08:00 ] /index.php/Login/verify | INFO: Tag[ app_begin ] --START--
[ 2016-11-23T15:20:38+08:00 ] /index.php/Login/verify | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001084s ]
[ 2016-11-23T15:20:38+08:00 ] /index.php/Login/verify | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001193s ]
[ 2016-11-23T15:21:06+08:00 ] /index.php/Login/userCheck | INFO: Tag[ route_check ] --START--
[ 2016-11-23T15:21:06+08:00 ] /index.php/Login/userCheck | INFO: Run CheckRoute Behavior [ RunTime:0.001771s ]
[ 2016-11-23T15:21:06+08:00 ] /index.php/Login/userCheck | INFO: Tag[ route_check ] --END-- [ RunTime:0.001935s ]
[ 2016-11-23T15:21:06+08:00 ] /index.php/Login/userCheck | INFO: Tag[ app_begin ] --START--
[ 2016-11-23T15:21:06+08:00 ] /index.php/Login/userCheck | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001096s ]
[ 2016-11-23T15:21:06+08:00 ] /index.php/Login/userCheck | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001204s ]
[ 2016-11-23T15:21:06+08:00 ] /index.php/Login/userCheck | NOTIC: [8] A session had already been started - ignoring session_start() LoginAction.class.php 第 10 行.
[ 2016-11-23T15:21:06+08:00 ] /index.php/User | INFO: Tag[ route_check ] --START--
[ 2016-11-23T15:21:06+08:00 ] /index.php/User | INFO: Run CheckRoute Behavior [ RunTime:0.001757s ]
[ 2016-11-23T15:21:06+08:00 ] /index.php/User | INFO: Tag[ route_check ] --END-- [ RunTime:0.001922s ]
[ 2016-11-23T15:21:06+08:00 ] /index.php/User | INFO: Tag[ app_begin ] --START--
[ 2016-11-23T15:21:06+08:00 ] /index.php/User | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001087s ]
[ 2016-11-23T15:21:06+08:00 ] /index.php/User | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001195s ]
[ 2016-11-23T15:21:09+08:00 ] /index.php/User | INFO: Tag[ view_template ] --START--
[ 2016-11-23T15:21:09+08:00 ] /index.php/User | INFO: Run LocationTemplate Behavior [ RunTime:0.001696s ]
[ 2016-11-23T15:21:09+08:00 ] /index.php/User | INFO: Tag[ view_template ] --END-- [ RunTime:0.001829s ]
[ 2016-11-23T15:21:09+08:00 ] /index.php/User | INFO: Tag[ view_parse ] --START--
[ 2016-11-23T15:21:09+08:00 ] /index.php/User | INFO: Run ParseTemplate Behavior [ RunTime:0.019081s ]
[ 2016-11-23T15:21:09+08:00 ] /index.php/User | INFO: Tag[ view_parse ] --END-- [ RunTime:0.019198s ]
[ 2016-11-23T15:21:09+08:00 ] /index.php/User | INFO: Tag[ view_filter ] --START--
[ 2016-11-23T15:21:09+08:00 ] /index.php/User | INFO: Run ContentReplace Behavior [ RunTime:0.001738s ]
[ 2016-11-23T15:21:09+08:00 ] /index.php/User | INFO: Run TokenBuild Behavior [ RunTime:0.001870s ]
